Table,Metric,Error_Count,Total,Error_Rate,Status,run_id,timestamp
admissions,completeness,0,56000,0.0,PASS,8abb0fc3-dc15-43a5-bcc8-216e915342bd,2026-07-10 00:03:42.501677
admissions,uniqueness,0,7000,0.0,PASS,8abb0fc3-dc15-43a5-bcc8-216e915342bd,2026-07-10 00:03:42.501677
admissions,fk_patient_id,0,7000,0.0,PASS,8abb0fc3-dc15-43a5-bcc8-216e915342bd,2026-07-10 00:03:42.501677
admissions,fk_room_id,0,7000,0.0,PASS,8abb0fc3-dc15-43a5-bcc8-216e915342bd,2026-07-10 00:03:42.501677
admissions,fk_bed_id,0,7000,0.0,PASS,8abb0fc3-dc15-43a5-bcc8-216e915342bd,2026-07-10 00:03:42.501677
appointments,completeness,0,80000,0.0,PASS,8abb0fc3-dc15-43a5-bcc8-216e915342bd,2026-07-10 00:03:42.501677
appointments,uniqueness,0,10000,0.0,PASS,8abb0fc3-dc15-43a5-bcc8-216e915342bd,2026-07-10 00:03:42.501677
appointments,fk_patient_id,0,10000,0.0,PASS,8abb0fc3-dc15-43a5-bcc8-216e915342bd,2026-07-10 00:03:42.501677
appointments,fk_doctor_id,0,10000,0.0,PASS,8abb0fc3-dc15-43a5-bcc8-216e915342bd,2026-07-10 00:03:42.501677
beds,completeness,0,1860,0.0,PASS,8abb0fc3-dc15-43a5-bcc8-216e915342bd,2026-07-10 00:03:42.501677
beds,uniqueness,0,620,0.0,PASS,8abb0fc3-dc15-43a5-bcc8-216e915342bd,2026-07-10 00:03:42.501677
beds,fk_room_id,0,620,0.0,PASS,8abb0fc3-dc15-43a5-bcc8-216e915342bd,2026-07-10 00:03:42.501677
departments,completeness,50,250,0.2,FAIL,8abb0fc3-dc15-43a5-bcc8-216e915342bd,2026-07-10 00:03:42.501677
departments,uniqueness,0,50,0.0,PASS,8abb0fc3-dc15-43a5-bcc8-216e915342bd,2026-07-10 00:03:42.501677
doctors,completeness,0,1800,0.0,PASS,8abb0fc3-dc15-43a5-bcc8-216e915342bd,2026-07-10 00:03:42.501677
doctors,uniqueness,0,200,0.0,PASS,8abb0fc3-dc15-43a5-bcc8-216e915342bd,2026-07-10 00:03:42.501677
doctors,fk_department_id,0,200,0.0,PASS,8abb0fc3-dc15-43a5-bcc8-216e915342bd,2026-07-10 00:03:42.501677
equipment,completeness,0,7996,0.0,PASS,8abb0fc3-dc15-43a5-bcc8-216e915342bd,2026-07-10 00:03:42.501677
equipment,uniqueness,0,1999,0.0,PASS,8abb0fc3-dc15-43a5-bcc8-216e915342bd,2026-07-10 00:03:42.501677
equipment,fk_department_id,0,1999,0.0,PASS,8abb0fc3-dc15-43a5-bcc8-216e915342bd,2026-07-10 00:03:42.501677
medical_history,completeness,0,199996,0.0,PASS,8abb0fc3-dc15-43a5-bcc8-216e915342bd,2026-07-10 00:03:42.501677
medical_history,uniqueness,0,49999,0.0,PASS,8abb0fc3-dc15-43a5-bcc8-216e915342bd,2026-07-10 00:03:42.501677
medical_history,fk_patient_id,0,49999,0.0,PASS,8abb0fc3-dc15-43a5-bcc8-216e915342bd,2026-07-10 00:03:42.501677
medical_history,fk_appointment_id,0,49999,0.0,PASS,8abb0fc3-dc15-43a5-bcc8-216e915342bd,2026-07-10 00:03:42.501677
notifications,completeness,0,149997,0.0,PASS,8abb0fc3-dc15-43a5-bcc8-216e915342bd,2026-07-10 00:03:42.501677
notifications,uniqueness,0,49999,0.0,PASS,8abb0fc3-dc15-43a5-bcc8-216e915342bd,2026-07-10 00:03:42.501677
notifications,fk_appointment_id,0,49999,0.0,PASS,8abb0fc3-dc15-43a5-bcc8-216e915342bd,2026-07-10 00:03:42.501677
nurses,completeness,0,1596,0.0,PASS,8abb0fc3-dc15-43a5-bcc8-216e915342bd,2026-07-10 00:03:42.501677
nurses,uniqueness,0,399,0.0,PASS,8abb0fc3-dc15-43a5-bcc8-216e915342bd,2026-07-10 00:03:42.501677
nurses,fk_department_id,0,399,0.0,PASS,8abb0fc3-dc15-43a5-bcc8-216e915342bd,2026-07-10 00:03:42.501677
patients,completeness,405431,1000000,0.4054,FAIL,8abb0fc3-dc15-43a5-bcc8-216e915342bd,2026-07-10 00:03:42.501677
patients,uniqueness,8012,100000,0.0801,FAIL,8abb0fc3-dc15-43a5-bcc8-216e915342bd,2026-07-10 00:03:42.501677
patients,fk_department_id,100000,100000,1.0,FAIL,8abb0fc3-dc15-43a5-bcc8-216e915342bd,2026-07-10 00:03:42.501677
rooms,completeness,0,2400,0.0,PASS,8abb0fc3-dc15-43a5-bcc8-216e915342bd,2026-07-10 00:03:42.501677
rooms,uniqueness,0,300,0.0,PASS,8abb0fc3-dc15-43a5-bcc8-216e915342bd,2026-07-10 00:03:42.501677
rooms,fk_department_id,0,300,0.0,PASS,8abb0fc3-dc15-43a5-bcc8-216e915342bd,2026-07-10 00:03:42.501677
