Table,Metric,Error_Count,Total,Error_Rate,Status,run_id,timestamp
admissions,completeness,0,56000,0.0,PASS,9ecec33d-97b3-44d6-9850-c8a971899ab6,2026-07-10 00:04:03.136195
admissions,uniqueness,0,7000,0.0,PASS,9ecec33d-97b3-44d6-9850-c8a971899ab6,2026-07-10 00:04:03.136195
admissions,fk_patient_id,0,7000,0.0,PASS,9ecec33d-97b3-44d6-9850-c8a971899ab6,2026-07-10 00:04:03.136195
admissions,fk_room_id,0,7000,0.0,PASS,9ecec33d-97b3-44d6-9850-c8a971899ab6,2026-07-10 00:04:03.136195
admissions,fk_bed_id,0,7000,0.0,PASS,9ecec33d-97b3-44d6-9850-c8a971899ab6,2026-07-10 00:04:03.136195
appointments,completeness,0,80000,0.0,PASS,9ecec33d-97b3-44d6-9850-c8a971899ab6,2026-07-10 00:04:03.136195
appointments,uniqueness,0,10000,0.0,PASS,9ecec33d-97b3-44d6-9850-c8a971899ab6,2026-07-10 00:04:03.136195
appointments,fk_patient_id,0,10000,0.0,PASS,9ecec33d-97b3-44d6-9850-c8a971899ab6,2026-07-10 00:04:03.136195
appointments,fk_doctor_id,0,10000,0.0,PASS,9ecec33d-97b3-44d6-9850-c8a971899ab6,2026-07-10 00:04:03.136195
beds,completeness,0,1860,0.0,PASS,9ecec33d-97b3-44d6-9850-c8a971899ab6,2026-07-10 00:04:03.136195
beds,uniqueness,0,620,0.0,PASS,9ecec33d-97b3-44d6-9850-c8a971899ab6,2026-07-10 00:04:03.136195
beds,fk_room_id,0,620,0.0,PASS,9ecec33d-97b3-44d6-9850-c8a971899ab6,2026-07-10 00:04:03.136195
departments,completeness,50,250,0.2,FAIL,9ecec33d-97b3-44d6-9850-c8a971899ab6,2026-07-10 00:04:03.136195
departments,uniqueness,0,50,0.0,PASS,9ecec33d-97b3-44d6-9850-c8a971899ab6,2026-07-10 00:04:03.136195
doctors,completeness,0,1800,0.0,PASS,9ecec33d-97b3-44d6-9850-c8a971899ab6,2026-07-10 00:04:03.136195
doctors,uniqueness,0,200,0.0,PASS,9ecec33d-97b3-44d6-9850-c8a971899ab6,2026-07-10 00:04:03.136195
doctors,fk_department_id,0,200,0.0,PASS,9ecec33d-97b3-44d6-9850-c8a971899ab6,2026-07-10 00:04:03.136195
equipment,completeness,0,7996,0.0,PASS,9ecec33d-97b3-44d6-9850-c8a971899ab6,2026-07-10 00:04:03.136195
equipment,uniqueness,0,1999,0.0,PASS,9ecec33d-97b3-44d6-9850-c8a971899ab6,2026-07-10 00:04:03.136195
equipment,fk_department_id,0,1999,0.0,PASS,9ecec33d-97b3-44d6-9850-c8a971899ab6,2026-07-10 00:04:03.136195
medical_history,completeness,0,199996,0.0,PASS,9ecec33d-97b3-44d6-9850-c8a971899ab6,2026-07-10 00:04:03.136195
medical_history,uniqueness,0,49999,0.0,PASS,9ecec33d-97b3-44d6-9850-c8a971899ab6,2026-07-10 00:04:03.136195
medical_history,fk_patient_id,0,49999,0.0,PASS,9ecec33d-97b3-44d6-9850-c8a971899ab6,2026-07-10 00:04:03.136195
medical_history,fk_appointment_id,0,49999,0.0,PASS,9ecec33d-97b3-44d6-9850-c8a971899ab6,2026-07-10 00:04:03.136195
notifications,completeness,0,149997,0.0,PASS,9ecec33d-97b3-44d6-9850-c8a971899ab6,2026-07-10 00:04:03.136195
notifications,uniqueness,0,49999,0.0,PASS,9ecec33d-97b3-44d6-9850-c8a971899ab6,2026-07-10 00:04:03.136195
notifications,fk_appointment_id,0,49999,0.0,PASS,9ecec33d-97b3-44d6-9850-c8a971899ab6,2026-07-10 00:04:03.136195
nurses,completeness,0,1596,0.0,PASS,9ecec33d-97b3-44d6-9850-c8a971899ab6,2026-07-10 00:04:03.136195
nurses,uniqueness,0,399,0.0,PASS,9ecec33d-97b3-44d6-9850-c8a971899ab6,2026-07-10 00:04:03.136195
nurses,fk_department_id,0,399,0.0,PASS,9ecec33d-97b3-44d6-9850-c8a971899ab6,2026-07-10 00:04:03.136195
patients,completeness,405431,1000000,0.4054,FAIL,9ecec33d-97b3-44d6-9850-c8a971899ab6,2026-07-10 00:04:03.136195
patients,uniqueness,8012,100000,0.0801,FAIL,9ecec33d-97b3-44d6-9850-c8a971899ab6,2026-07-10 00:04:03.136195
patients,fk_department_id,100000,100000,1.0,FAIL,9ecec33d-97b3-44d6-9850-c8a971899ab6,2026-07-10 00:04:03.136195
rooms,completeness,0,2400,0.0,PASS,9ecec33d-97b3-44d6-9850-c8a971899ab6,2026-07-10 00:04:03.136195
rooms,uniqueness,0,300,0.0,PASS,9ecec33d-97b3-44d6-9850-c8a971899ab6,2026-07-10 00:04:03.136195
rooms,fk_department_id,0,300,0.0,PASS,9ecec33d-97b3-44d6-9850-c8a971899ab6,2026-07-10 00:04:03.136195
