Table,Metric,Error_Count,Total,Error_Rate,Status,run_id,timestamp
admissions,completeness,0,56000,0.0,PASS,c7d87a39-e263-4093-a206-d8a8d47f85dc,2026-07-11 00:59:33.104185
admissions,uniqueness,0,7000,0.0,PASS,c7d87a39-e263-4093-a206-d8a8d47f85dc,2026-07-11 00:59:33.104185
admissions,fk_patient_id,0,7000,0.0,PASS,c7d87a39-e263-4093-a206-d8a8d47f85dc,2026-07-11 00:59:33.104185
admissions,fk_room_id,0,7000,0.0,PASS,c7d87a39-e263-4093-a206-d8a8d47f85dc,2026-07-11 00:59:33.104185
admissions,fk_bed_id,0,7000,0.0,PASS,c7d87a39-e263-4093-a206-d8a8d47f85dc,2026-07-11 00:59:33.104185
appointments,completeness,0,80000,0.0,PASS,c7d87a39-e263-4093-a206-d8a8d47f85dc,2026-07-11 00:59:33.104185
appointments,uniqueness,0,10000,0.0,PASS,c7d87a39-e263-4093-a206-d8a8d47f85dc,2026-07-11 00:59:33.104185
appointments,fk_patient_id,0,10000,0.0,PASS,c7d87a39-e263-4093-a206-d8a8d47f85dc,2026-07-11 00:59:33.104185
appointments,fk_doctor_id,0,10000,0.0,PASS,c7d87a39-e263-4093-a206-d8a8d47f85dc,2026-07-11 00:59:33.104185
beds,completeness,0,1860,0.0,PASS,c7d87a39-e263-4093-a206-d8a8d47f85dc,2026-07-11 00:59:33.104185
beds,uniqueness,0,620,0.0,PASS,c7d87a39-e263-4093-a206-d8a8d47f85dc,2026-07-11 00:59:33.104185
beds,fk_room_id,0,620,0.0,PASS,c7d87a39-e263-4093-a206-d8a8d47f85dc,2026-07-11 00:59:33.104185
departments,completeness,50,250,0.2,FAIL,c7d87a39-e263-4093-a206-d8a8d47f85dc,2026-07-11 00:59:33.104185
departments,uniqueness,0,50,0.0,PASS,c7d87a39-e263-4093-a206-d8a8d47f85dc,2026-07-11 00:59:33.104185
doctors,completeness,0,1800,0.0,PASS,c7d87a39-e263-4093-a206-d8a8d47f85dc,2026-07-11 00:59:33.104185
doctors,uniqueness,0,200,0.0,PASS,c7d87a39-e263-4093-a206-d8a8d47f85dc,2026-07-11 00:59:33.104185
doctors,fk_department_id,0,200,0.0,PASS,c7d87a39-e263-4093-a206-d8a8d47f85dc,2026-07-11 00:59:33.104185
equipment,completeness,0,7996,0.0,PASS,c7d87a39-e263-4093-a206-d8a8d47f85dc,2026-07-11 00:59:33.104185
equipment,uniqueness,0,1999,0.0,PASS,c7d87a39-e263-4093-a206-d8a8d47f85dc,2026-07-11 00:59:33.104185
equipment,fk_department_id,0,1999,0.0,PASS,c7d87a39-e263-4093-a206-d8a8d47f85dc,2026-07-11 00:59:33.104185
medical_history,completeness,0,199996,0.0,PASS,c7d87a39-e263-4093-a206-d8a8d47f85dc,2026-07-11 00:59:33.104185
medical_history,uniqueness,0,49999,0.0,PASS,c7d87a39-e263-4093-a206-d8a8d47f85dc,2026-07-11 00:59:33.104185
medical_history,fk_patient_id,0,49999,0.0,PASS,c7d87a39-e263-4093-a206-d8a8d47f85dc,2026-07-11 00:59:33.104185
medical_history,fk_appointment_id,0,49999,0.0,PASS,c7d87a39-e263-4093-a206-d8a8d47f85dc,2026-07-11 00:59:33.104185
notifications,completeness,0,149997,0.0,PASS,c7d87a39-e263-4093-a206-d8a8d47f85dc,2026-07-11 00:59:33.104185
notifications,uniqueness,0,49999,0.0,PASS,c7d87a39-e263-4093-a206-d8a8d47f85dc,2026-07-11 00:59:33.104185
notifications,fk_appointment_id,0,49999,0.0,PASS,c7d87a39-e263-4093-a206-d8a8d47f85dc,2026-07-11 00:59:33.104185
nurses,completeness,0,1596,0.0,PASS,c7d87a39-e263-4093-a206-d8a8d47f85dc,2026-07-11 00:59:33.104185
nurses,uniqueness,0,399,0.0,PASS,c7d87a39-e263-4093-a206-d8a8d47f85dc,2026-07-11 00:59:33.104185
nurses,fk_department_id,0,399,0.0,PASS,c7d87a39-e263-4093-a206-d8a8d47f85dc,2026-07-11 00:59:33.104185
patients,completeness,405431,1000000,0.4054,FAIL,c7d87a39-e263-4093-a206-d8a8d47f85dc,2026-07-11 00:59:33.104185
patients,uniqueness,8012,100000,0.0801,FAIL,c7d87a39-e263-4093-a206-d8a8d47f85dc,2026-07-11 00:59:33.104185
patients,fk_department_id,100000,100000,1.0,FAIL,c7d87a39-e263-4093-a206-d8a8d47f85dc,2026-07-11 00:59:33.104185
rooms,completeness,0,2400,0.0,PASS,c7d87a39-e263-4093-a206-d8a8d47f85dc,2026-07-11 00:59:33.104185
rooms,uniqueness,0,300,0.0,PASS,c7d87a39-e263-4093-a206-d8a8d47f85dc,2026-07-11 00:59:33.104185
rooms,fk_department_id,0,300,0.0,PASS,c7d87a39-e263-4093-a206-d8a8d47f85dc,2026-07-11 00:59:33.104185
